Plot_ID,Exchange_Acidity,Exchang_Al,Exchange_Mg,Exchange_Ca,Exchange_Na,Exchange_K,ECEC,Base_saturation,P         ,N,C
B1_3,10.900,8.606,0.3643,0.6516,0.0642,0.3894,12.369,11.88,7.094,0.57,8.39
B1_4,10.318,7.881,0.8108,1.9438,0.0361,0.4020,13.510,23.63,23.614,0.61,10.66
B2_1,10.756,7.834,0.6714,1.6841,0.0379,0.6960,13.845,22.31,11.504,0.52,9.27
B2_2,15.870,9.998,0.4733,0.7688,0.1028,0.3292,17.544,9.54,11.434,0.71,15.96
B2_3,18.434,11.708,0.7736,1.2387,0.0567,0.5598,21.063,12.48,13.254,0.97,18.90
B2_4,14.879,8.140,1.6669,3.1288,0.0368,0.4857,20.197,26.33,24.384,0.70,13.33
B3_1,10.643,8.979,0.4539,0.1885,0.0418,0.3362,11.663,8.75,8.774,0.76,11.95
B3_2,12.193,9.860,1.0615,2.5154,0.0378,0.5276,16.335,25.36,13.114,0.68,13.63
B3_3,12.234,9.799,0.7868,0.6300,0.0526,0.3890,14.092,13.19,39.193,0.96,19.79
B3_4,14.568,13.393,1.2614,2.8489,0.1240,0.6407,19.443,25.07,10.594,1.12,33.75
B4_1,5.070,5.008,0.9668,2.5895,0.0470,0.5482,9.221,45.02,29.584,0.65,7.84
B4_2,3.918,0.908,1.5768,10.2964,0.0539,0.8163,16.662,76.48,115.069,0.92,14.48
